day,hour,occupancy,temperature,humidity,light_level,ac,lights,energy
1,8,8,26.974648266254075,62.57716536225204,321,0,1,1.2132179822929618
1,9,4,28.578353277034076,59.526894990510144,349,0,1,1.2006757849949101
1,10,32,27.528682798964727,57.37415096410926,526,1,1,4.619356718051903
1,11,37,31.008072451421896,51.375410837434835,308,1,1,4.5656568706138545
1,12,39,28.35793090373565,56.28796581440414,520,1,1,4.969847315338233
1,13,12,28.961335549270196,60.71232301193327,380,1,1,3.3948021723658606
1,14,14,27.873509633866547,61.87849009172836,416,1,1,3.1959920576404865
1,15,29,31.579135417342755,61.45517000631091,513,1,1,4.154666038958804
1,16,34,29.620290574153167,54.206148790374584,299,1,1,4.310232132911604
1,17,7,32.13798839653651,61.61499898639149,440,1,1,2.940987458869095
1,18,3,31.127957474080794,64.40880519474305,553,0,1,1.4418789312738147
2,8,13,25.04512514102367,59.4217585880588,457,0,1,1.3848344456616068
2,9,14,29.260550625250524,57.3092916916852,466,1,1,3.5515427434352698
2,10,33,25.7554397669559,55.782900383203575,594,0,1,1.5530011891904252
2,11,31,25.886484841690223,53.16608930556851,385,0,1,1.7646499283743928
2,12,25,30.396920178674296,63.49220129605481,290,1,1,4.076040309549721
2,13,21,29.796895147105346,64.8777256356118,282,1,1,3.8233401818094013
2,14,17,28.98442503697055,64.7500269775359,463,1,1,3.908977470286305
2,15,30,26.833365467270127,65.34740443098465,380,0,1,1.6542093408262621
2,16,34,32.50705484969895,56.92562120291345,428,1,1,4.5499338660733395
2,17,8,34.45029233091819,54.87454555594567,471,1,1,3.2446475672762523
2,18,12,29.257826344118694,68.11460249670687,533,1,1,3.5235599615462716
3,8,3,25.599548172230712,64.46314735753081,383,0,1,1.1076363629711632
3,9,5,27.756728725641477,60.4853877467402,597,0,1,1.4952967485799336
3,10,33,27.34692035918397,58.36168926701116,532,1,1,4.641060043020934
3,11,33,28.26207099376157,55.64847522719463,386,1,1,4.374003517055272
3,12,38,28.406725322629562,58.55431571765029,421,1,1,4.600090906965436
3,13,17,28.52931876273763,55.284715957663686,301,1,1,3.8605938107988944
3,14,21,29.57217379323254,51.632476890048885,362,1,1,3.783735096516098
3,15,35,29.773752372228234,59.03819517609439,379,1,1,4.595232101350042
3,16,24,30.709731446279964,59.96309925027713,496,1,1,4.171423422177253
3,17,12,31.62789954903016,63.639165570829334,574,1,1,3.307139595946756
3,18,5,30.731896017069747,61.08468363081171,489,0,1,1.2835796482641537
4,8,12,28.367339922111277,68.53302476839231,595,1,1,3.5310384123453074
4,9,4,27.295759849731468,65.48264428247441,448,0,1,1.42045040485731
4,10,40,27.027963603108084,66.24470349569955,516,1,1,4.809847373716685
4,11,36,27.44362791235533,63.3859303279105,547,1,1,4.722027582605451
4,12,34,27.153703525349066,60.06516949883275,251,1,1,4.556665438795964
4,13,10,29.689824191372637,63.909114358886555,258,1,1,3.4447215873492656
4,14,12,28.002753270705494,58.57255349506835,410,1,1,3.5597938703268928
4,15,27,30.87957246657464,65.51343732731355,503,1,1,4.176224951798721
4,16,25,28.37471766146114,60.7532952174164,410,1,1,4.047642759022133
4,17,5,29.373230863004107,54.347859734397346,384,0,1,1.2060158051829142
4,18,13,32.45739232767522,71.3667257900874,271,1,1,3.4720461975685826
5,8,7,27.78283482879541,62.066770438118226,513,1,1,3.3314072956029954
5,9,2,28.906940005537994,58.67671583381022,566,0,1,1.7280253749884429
5,10,40,26.79366125290833,62.41236207621593,469,0,1,1.4325123406751716
5,11,30,28.335298309389476,59.3793380555917,430,1,1,4.411051122692161
5,12,39,27.729809422897393,52.42576387657068,410,1,1,4.611093007118278
5,13,18,28.53055202354657,65.48164894770545,572,1,1,3.6496883463893735
5,14,17,27.878420040762503,66.94801414073295,376,1,1,3.808613526329357
5,15,20,29.97704128921945,62.24887019244367,419,1,1,4.066838651582894
5,16,26,27.872849083864022,57.44753390211202,262,1,1,3.922510156781837
5,17,9,31.242493481287543,64.770008817466,392,1,1,3.3477086876958695
5,18,13,28.459164391344096,70.00174044553052,591,1,1,3.3129881194016377
6,8,14,27.117450239018652,60.74916858169799,554,1,1,3.5211361052106986
6,9,5,25.11269332020288,62.13012933417001,513,0,1,1.2427044436110048
6,10,29,29.41939662340201,66.0519931656832,599,1,1,4.227314605176166
6,11,39,27.55173595128899,62.11156880832032,393,1,1,4.75227149173898
6,12,38,29.663111025300097,59.46402762419437,524,1,1,4.627067407137032
6,13,21,28.01367667150835,64.20002688311214,366,1,1,3.8296423926522647
6,14,21,28.409742473491086,53.99851796472112,250,1,1,3.7998248146238573
6,15,34,30.376650548655675,51.93886346412738,297,1,1,4.5406592623113395
6,16,35,33.567209909015844,70.61078098506317,496,1,1,4.7048697890826725
6,17,4,29.40388789515552,53.60040133368435,335,0,1,1.4065729142219343
6,18,13,31.961951080144004,57.253735463178494,503,1,1,3.614519438166211
7,8,6,30.248616955897454,52.84929311019684,574,1,1,3.05134068286489
7,9,11,28.886913500945766,60.292544511534224,506,1,1,3.7021995392675486
7,10,32,26.927737023428072,62.31051737131635,529,0,1,1.6716102197103035
7,11,28,30.08934881432755,50.51311508755671,282,1,1,4.39208111425162
7,12,25,29.72182659264219,62.335285863644444,517,1,1,4.115899071015515
7,13,19,29.137253167154732,56.65512586341657,261,1,1,3.6197873661893265
